;
;
; Title		:	Object.dat
; Author	:	Richard Jobling
; Date		:	03/02/00
;
;	09/05/2001	- Andrzej:	- some new Collision Damage Effect numbers added;
;	14/07/2001	- Andrzej:	- smash_barpost_completely added;
;	
;
;
; (A) Object Name		[256 chars max]
; (B) Mass				[kilograms 1 to 50000]
; (C) TurnMass			[kg m^3 or some such dimension] 
; (D) Air Resistance	[scale 0 (total resistance) to 1 (zero resistance)]
; (E) Elasticity		[scale 0 (no bounce) to 1 (full bounce)]
; (F) Percent Submerged	[percentage 10 to 120]
; (G) Uproot Limit		[force magnitude required to uproot]
; (H) Collision Damage Multiplier	[0.1 - 5.0 ish]
;
; (I) Collision Damage Effect [uint8 integer 0 - 4]
;		0:none 
;		1:change_model
;		2:split_model
;		3:smash_and_damage_trafficlights
;		20:smash_completely
;		21:change_then_smash
;
;		50:smash_cardbox_completely		(only for cardbox1 & cardbox4)
;		51:smash_yellow_target_completely(bankjob2's targets)
;		60:smash_woodenbox_completely	(only for woodenbox);
;		70:smash_trafficcone_completely	(only for trafficcone);
;		80:smash_barpost_completely		(only for smashbar);
;
;		91:smash_newstandnew1			(only for newstandnew);
;		92:smash_newstandnew2			(only for newstandnew);
;		93:smash_newstandnew3			(only for newstandnew);
;		94:smash_newstandnew4			(only for newstandnew);
;		95:smash_newstandnew5			(only for newstandnew);
;
;		100:smash_blackbag				(only for blackbag)
;		110:smash_vegpalm				(only for veg_palmXXX);
;
;		120:burst_beachball				(only for beachball);
;		131:smash_beachlounge_wood		(only for wood lounges);
;		132:smash_beachlounge_towel		(only for towel lounge);
;
;
;
; (J) Special Collision Response Cases [uint8 0 - 4] 0:none(default) 1:lampost 2:smallbox 3:bigbox 4:fencepart
; (K) Camera to avoid this object (0) for no (1) for yes
;
;
;
;A				B		C		D		E		F		G		H	I	J	K
;nbbridgfk2			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0	
;damgbbridgerda			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;damgbridgerdb 			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;nbbridgcabls01			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;nbbridgerdb			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;nbbridgerda			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;LODridgfk2			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;LODgbbridgerda			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;LODgbridgerdb			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;LODridgcabls01			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;LODridgerdb			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
;LODridgerda			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
magnet				99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
coffee				2000.0,		2000.0		0.99,		0.1,		50.0,		99999.0,	0.52,	1,	0,	0
noodlesbox			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
adrenaline			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
info				99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
health				99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
subwaygate			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	4,	0
tunnelentrance			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	4,	0
bodyarmour			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
convstre_dmge01			99999.0,	99999.0		0.99,		0.1,		50.0,		125.0,		1.0,	0,	0,	0
